,Открыт_дата,День недели,Месяц,Год,Неделя,ЗП,Время года,"Сумма по чеку, руб.",День,Средняя Температура,Снег,Дождь,Праздник_вых,Праздник_раб,Праздники,Предпраздничный,Выходной
0,2022-09-01,3,9,2022,1,0,3,96630.0,1,11.4,0,0,False,1,1,0.0,0
1,2022-09-02,4,9,2022,1,0,3,108024.5,2,10.5,0,1,False,0,0,0.0,0
2,2022-09-03,5,9,2022,1,0,3,122352.0,3,12.5,0,0,False,0,0,0.0,1
3,2022-09-04,6,9,2022,1,0,3,119441.7,4,12.2,0,0,False,0,0,0.0,1
4,2022-09-05,0,9,2022,1,0,3,87863.5,5,10.3,0,0,False,0,0,0.0,0
5,2022-09-06,1,9,2022,1,0,3,104438.5,6,9.7,0,1,False,0,0,0.0,0
6,2022-09-07,2,9,2022,1,0,3,117891.75,7,9.5,0,1,False,0,0,0.0,0
7,2022-09-08,3,9,2022,2,0,3,91541.0,8,9.2,0,1,False,0,0,0.0,0
8,2022-09-09,4,9,2022,2,0,3,124681.88,9,10.2,0,0,False,0,0,0.0,0
9,2022-09-10,5,9,2022,2,0,3,130622.0,10,12.1,0,0,False,0,0,0.0,1
10,2022-09-11,6,9,2022,2,0,3,118543.0,11,13.0,0,0,False,0,0,0.0,1
11,2022-09-12,0,9,2022,2,0,3,88454.0,12,12.0,0,1,False,0,0,0.0,0
12,2022-09-13,1,9,2022,2,0,3,92371.0,13,12.4,0,1,False,0,0,0.0,0
13,2022-09-14,2,9,2022,2,0,3,96712.5,14,12.5,0,1,False,0,0,0.0,0
14,2022-09-15,3,9,2022,3,1,3,87886.03,15,12.2,0,1,False,0,0,0.0,0
15,2022-09-16,4,9,2022,3,1,3,94721.5,16,13.6,0,1,False,0,0,0.0,0
16,2022-09-17,5,9,2022,3,1,3,115480.0,17,13.4,0,1,False,0,0,0.0,1
17,2022-09-18,6,9,2022,3,1,3,102071.0,18,12.6,0,1,False,0,0,0.0,1
18,2022-09-19,0,9,2022,3,1,3,74530.5,19,11.6,0,1,False,0,0,0.0,0
19,2022-09-20,1,9,2022,3,1,3,106050.5,20,12.6,0,1,False,0,0,0.0,0
20,2022-09-21,2,9,2022,3,1,3,91845.0,21,12.0,0,1,False,0,0,0.0,0
21,2022-09-22,3,9,2022,4,0,3,96050.0,22,11.7,0,1,False,0,0,0.0,0
22,2022-09-23,4,9,2022,4,0,3,101641.0,23,12.0,0,0,False,0,0,0.0,0
23,2022-09-24,5,9,2022,4,0,3,95566.0,24,8.8,0,1,False,0,0,0.0,1
24,2022-09-25,6,9,2022,4,0,3,104163.5,25,7.8,0,1,False,0,0,0.0,1
